レコード番号,年度
1,2026
2,2026
3,2026
4,2026
5,2026
6,2026
7,2026
8,2026
9,2026
10,2026
11,2026
12,2026
13,2026
14,2026
15,2026
16,2026
17,2026
18,2026
19,2026
20,2026
21,2026
22,2026
23,2026
24,2026
25,2026
26,2026
27,2026
28,2026
29,2026
30,2026
31,2026
32,2026
33,2026
34,2026
35,2026
36,2026
37,2026
38,2026
39,2026
40,2026
41,2026
42,2026
43,2026
44,2026
45,2026
46,2026
47,2026
48,2026
49,2026
50,2026
51,2026
52,2026
53,2026
54,2026
55,2026
56,2026
57,2026
58,2026
59,2026
60,2026
61,2026
62,2026
63,2026
64,2026
